   1.0551512e+00   9.8840671e-01   1.0153956e+00   1.0252450e+00   6.9927053e-01   6.6381242e-01   3.3629043e-01   3.1611088e-01   3.1888035e-01   1.0054979e+00
   1.0220607e+00   1.0224148e+00   9.9536184e-01   1.0194099e+00   6.4159412e-01   3.5686447e-01   3.2032899e-01   2.8301159e-01   3.0301668e-01   1.0239380e+00
   1.0388343e+00   1.0104954e+00   9.9855727e-01   6.6130745e-01   6.9494188e-01   3.1012007e-01   3.4297069e-01   3.5504853e-01   3.4745936e-01   9.8968123e-01
   9.9109429e-01   9.6573426e-01   1.0022640e+00   6.4705759e-01   6.4947582e-01   3.3653888e-01   3.4649872e-01   3.2949819e-01   3.0050588e-01   1.0207784e+00
   1.0338109e+00   1.0069937e+00   9.7597509e-01   6.4948841e-01   6.8627379e-01   3.3727808e-01   3.1150591e-01   3.8306761e-01   3.2510498e-01   1.0477115e+00
   9.6742564e-01   9.8165068e-01   1.0166785e+00   6.6700873e-01   6.4744539e-01   3.4826965e-01   3.4453869e-01   3.5501998e-01   2.9454312e-01   9.7383501e-01
   9.7850801e-01   1.0098683e+00   9.8425285e-01   6.8449080e-01   6.5920078e-01   3.7805383e-01   2.9606753e-01   3.6252799e-01   3.1579822e-01   9.9133286e-01
   9.5530896e-01   9.6159538e-01   9.8477175e-01   6.6198561e-01   1.0038349e+00   2.8888392e-01   2.9648978e-01   3.2860201e-01   3.2719675e-01   9.9764099e-01
   9.6147055e-01   9.7280055e-01   9.8590207e-01   6.3978250e-01   9.6156217e-01   3.2681215e-01   3.3772296e-01   3.3376530e-01   4.0283379e-01   9.8457664e-01
   9.9214151e-01   9.6535412e-01   1.0192967e+00   1.0305809e+00   9.6664309e-01   3.1071748e-01   3.4725085e-01   3.5995174e-01   2.9980101e-01   9.8641116e-01
   9.9990110e-01   9.9912073e-01   1.0066780e+00   1.0257711e+00   9.9191537e-01   3.5716799e-01   3.6019387e-01   3.6706257e-01   3.3088787e-01   1.0170602e+00
   9.6198261e-01   9.9573822e-01   1.0073867e+00   1.0283067e+00   1.0114280e+00   3.1287633e-01   3.0736057e-01   3.1995117e-01   3.6859935e-01   1.0287248e+00
   9.9027082e-01   9.7764877e-01   9.8617839e-01   9.4621495e-01   1.0434297e+00   3.0857865e-01   3.0756915e-01   3.4123313e-01   2.7263683e-01   9.9869006e-01
